,individual_cv_mean,individual_cv_std,relationship_cv_mean,relationship_cv_std,family_cv_mean,family_cv_std,mean_batch_time_mean,mean_batch_time_std,std_batch_time_mean,std_batch_time_std,min_batch_time_mean,min_batch_time_std,max_batch_time_mean,max_batch_time_std
baseline,89.73008100845148,1.5888218580782548e-14,78.12187926766168,0.0,77.44980090015224,0.0,3.5554337157861464e-06,2.6109777302861933e-07,4.13631906434441e-05,1.0918583946703278e-05,1.1920928955078125e-06,0.0,0.013526439666748047,0.003574532388461648
sampler_random,46.36364278249336,0.38219717561273725,63.02653008882869,0.27393773286745793,70.8569950509755,0.5784701951958546,0.005328112920125326,0.00041802681150885637,0.0008041612857335155,0.0003615739741537451,0.0031607627868652345,0.00025241589020581474,0.0082855224609375,0.001988013974591993
sampler_random_limited,46.31459029749908,0.3239158541584606,62.928766645223526,0.4032147812648799,71.35176350141191,0.8441044160406673,0.005538256327311198,0.0002830003422935751,0.0008002704064677304,0.00019783381331171427,0.0035470962524414063,0.0006145708549932791,0.008349323272705078,0.0014606701124246562
sampler_relationship,54.54978382570361,0.5984220270681406,47.9355681712082,0.5108445497685339,78.70521989299412,1.1791588181453552,0.16413987096150717,0.013288203094492567,0.023337694413147588,0.0036188244253228044,0.0947645664215088,0.008373003733525319,0.22782888412475585,0.016715173952067813
sampler_relationship_limited,55.41797137346972,0.8138881461646191,48.32642666406109,1.1543890342022425,79.5581542426839,0.23162532488527462,0.02532024256388346,0.0026018274183999246,0.0057263463644476684,0.0014169344705666173,0.014903020858764649,0.0025341685139103477,0.04375009536743164,0.007949849913109045
sampler_difficulty,49.19005292473272,0.4001905203243079,62.477816006601735,0.34757512348554925,75.29819276269671,0.4177273762848865,0.16473942756652832,0.018492893069525063,0.020664710419795677,0.006984292463120531,0.11135268211364746,0.016908613111197908,0.25388574600219727,0.05933941063819337
sampler_difficulty_limited,49.32039617075283,0.31089009977191834,62.27726138812362,0.5626728937198737,74.78324963244157,1.0338332384741888,0.02739262326558431,0.003415736940164728,0.006954638359111668,0.0035000528796753595,0.016188812255859376,0.0027739235972339313,0.05183572769165039,0.01855184629015359
sampler_balanced,45.12693923171793,0.5720176925371112,54.59117742790282,0.2525100179858607,69.02722134151263,1.5404723680733672,0.18030009333292643,0.016625310273871447,0.0203789739469491,0.0035132226234099793,0.13107762336730958,0.015284863789610767,0.27131266593933107,0.047690604021548025
sampler_balanced_limited,46.520240024395385,0.7107247361213173,53.81623957060998,0.34388620505630546,70.17749764733757,1.2826490367458128,0.027361523310343423,0.003173802841802188,0.00600382050350242,0.0013519431215991621,0.01634221076965332,0.002385159153134442,0.05040521621704101,0.010076527390011017
