run,label,dataset,fold,batch_size,lr,tau,alpha,accuracy,auc,fd,fs,md,ms
d95dc550,v5,I,5,16,0.001,0.2,0.8,0.7397959232330322,0.7932111620903015,0.6730769276618958,0.765625,0.7884615659713745,0.7142857313156128
5603136e,v5,I,4,16,0.001,0.2,0.8,0.7105262875556946,0.7566174268722534,0.6111111044883728,0.6785714030265808,0.807692289352417,0.7424242496490479
b75186cb,v5,I,3,16,0.001,0.2,0.8,0.7336448431015015,0.7957026958465576,0.6481481194496155,0.859375,0.6800000071525574,0.717391312122345
689e7151,v5,I,2,16,0.001,0.2,0.8,0.8148148059844971,0.8714849352836609,0.8333333134651184,0.8333333134651184,0.8999999761581421,0.6739130616188049
208bc235,v5,I,1,16,0.001,0.2,0.8,0.75,0.8115878105163574,0.6481481194496155,0.725806474685669,0.800000011920929,0.8478260636329651
bfd514c5,v5,II,5,16,0.001,0.2,0.8,0.9075000286102296,0.9595749974250792,0.8399999737739563,0.9300000071525574,0.9300000071525574,0.9300000071525574
907884a0,v5,II,4,16,0.001,0.2,0.8,0.8899999856948853,0.9434500336647034,0.9100000262260436,0.8799999952316284,0.8500000238418579,0.9200000166893004
7b1d99dc,v5,II,3,16,0.001,0.2,0.8,0.8450000286102295,0.8949249982833862,0.6800000071525574,0.8999999761581421,0.9399999976158142,0.8600000143051147
07a9dd66,v5,II,2,16,0.001,0.2,0.8,0.8399999737739563,0.8883500099182129,0.6499999761581421,0.8999999761581421,0.9300000071525574,0.8799999952316284
0f7f2f38,v5,II,1,16,0.001,0.2,0.8,0.8899999856948853,0.9334499835968018,0.8199999928474426,0.9399999976158142,0.9100000262260436,0.8899999856948853
