label,dataset,batch_size,lr,accuracy,auc,fd,fs,md,ms,avg_kinship
v5,I,16,0.001,0.749756371974945,0.8057208061218262,0.6827635169029236,0.7725422382354736,0.795230770111084,0.7391680836677551,0.7474261522293091
v5,II,16,0.001,0.8745000004768372,0.9239500045776368,0.7799999952316284,0.9099999904632569,0.9120000123977661,0.8960000038146972,0.8745000004768372
