label,dataset,batch_size,lr,accuracy,auc,fd,fs,md,ms,avg_kinship
v0,I,16,1e-05,0.6853212714195251,0.7015069365501404,0.6752136707305908,0.6913092613220215,0.6853846192359925,0.6851213932037353,0.6842572361230851
v0,I,16,0.0001,0.75,0.7843538522720337,0.6851851940155029,0.7580645084381104,0.7799999713897705,0.782608687877655,0.7514645904302597
v0,I,16,0.001,0.7318862795829773,0.7731947660446167,0.6975783586502076,0.7335615634918213,0.7680000066757202,0.7259646058082581,0.7312761336565018
v0,II,16,1e-05,0.7855000019073486,0.8440850019454956,0.7320000052452087,0.8199999928474426,0.8039999961853027,0.7860000014305115,0.7854999989271163
v0,II,16,0.001,0.8810000061988831,0.928315031528473,0.8080000042915344,0.8980000019073486,0.9200000047683716,0.8980000019073486,0.8810000032186509
v1,I,16,1e-05,0.6853212714195251,0.7015069365501404,0.6752136707305908,0.6913092613220215,0.6853846192359925,0.6851213932037353,0.6842572361230851
v1,I,16,0.0001,0.6931928277015686,0.7176847338676453,0.6829059839248657,0.6849462389945984,0.7173846006393433,0.6756540536880493,0.6902227193117142
v1,I,16,0.001,0.7318862795829773,0.7731947660446167,0.6975783586502076,0.7335615634918213,0.7680000066757202,0.7259646058082581,0.7312761336565018
v1,II,16,1e-05,0.7855000019073486,0.8440850019454956,0.7320000052452087,0.8199999928474426,0.8039999961853027,0.7860000014305115,0.7854999989271163
v1,II,16,0.0001,0.8180000066757203,0.8802549839019775,0.7539999961853028,0.8439999938011169,0.8480000019073486,0.8259999871253967,0.8179999947547913
v1,II,16,0.001,0.8810000061988831,0.928315031528473,0.8080000042915344,0.8980000019073486,0.9200000047683716,0.8980000019073486,0.8810000032186509
v3,I,16,0.001,0.7089530467987061,0.746513032913208,0.6712250709533691,0.7085161924362182,0.7480000019073486,0.7070958018302917,0.7087092667818069
v3,II,16,0.001,0.8790000081062317,0.9265200138092041,0.8020000100135803,0.8799999952316284,0.9300000071525574,0.9039999961853027,0.8790000021457671
v4,I,16,1e-05,0.6568843007087708,0.6711177825927734,0.6156695127487183,0.6729973912239074,0.6463076949119568,0.6938170552253723,0.6571979135274887
v4,I,16,0.0001,0.6791528105735779,0.6960717797279358,0.6527065634727478,0.6518114686012269,0.6813846111297608,0.6769715785980225,0.6657185554504395
v4,I,16,0.001,0.7026736378669739,0.745518708229065,0.6678062796592712,0.6938394546508789,0.7289230942726135,0.7175042390823364,0.702018266916275
v4,II,16,1e-05,0.7970000028610229,0.8510949969291687,0.7379999995231629,0.8239999890327454,0.8180000066757203,0.8079999923706055,0.7969999969005584
v4,II,16,0.0001,0.822000014781952,0.8761150121688843,0.7479999899864197,0.8399999976158142,0.871999979019165,0.8279999971389771,0.8219999909400939
v4,II,16,0.001,0.8790000081062317,0.9235649943351746,0.7860000133514404,0.9100000023841858,0.9279999971389771,0.8920000076293946,0.8790000051259994
v5,II,16,0.001,0.8745000004768372,0.9239500045776368,0.7799999952316284,0.9099999904632569,0.9120000123977661,0.8960000038146972,0.8745000004768372
