run,label,dataset,fold,batch_size,lr,tau,alpha,accuracy,auc,fd,fs,md,ms
bfd514c5,v5,II,5,16,0.001,0.2,0.8,0.9075000286102296,0.9595749974250792,0.8399999737739563,0.9300000071525574,0.9300000071525574,0.9300000071525574
907884a0,v5,II,4,16,0.001,0.2,0.8,0.8899999856948853,0.9434500336647034,0.9100000262260436,0.8799999952316284,0.8500000238418579,0.9200000166893004
7b1d99dc,v5,II,3,16,0.001,0.2,0.8,0.8450000286102295,0.8949249982833862,0.6800000071525574,0.8999999761581421,0.9399999976158142,0.8600000143051147
07a9dd66,v5,II,2,16,0.001,0.2,0.8,0.8399999737739563,0.8883500099182129,0.6499999761581421,0.8999999761581421,0.9300000071525574,0.8799999952316284
0f7f2f38,v5,II,1,16,0.001,0.2,0.8,0.8899999856948853,0.9334499835968018,0.8199999928474426,0.9399999976158142,0.9100000262260436,0.8899999856948853
217442e4,v4,II,5,16,1e-05,0.2,0.8,0.800000011920929,0.8652499914169312,0.7599999904632568,0.8899999856948853,0.7900000214576721,0.7599999904632568
95e18712,v4,II,5,16,0.0001,0.2,0.8,0.8450000286102295,0.8953750133514404,0.8299999833106995,0.9200000166893004,0.8199999928474426,0.8100000023841858
7403fc5b,v4,II,5,16,0.001,0.2,0.8,0.8899999856948853,0.9431250095367432,0.8500000238418579,0.949999988079071,0.8799999952316284,0.8799999952316284
cd2d911e,v4,II,4,16,1e-05,0.2,0.8,0.8475000262260437,0.8890999555587769,0.8600000143051147,0.8299999833106995,0.8199999928474426,0.8799999952316284
554c26d1,v4,II,4,16,0.0001,0.2,0.8,0.8575000166893005,0.9174000024795532,0.8299999833106995,0.8299999833106995,0.8999999761581421,0.8700000047683716
dea8fddf,v4,II,4,16,0.001,0.2,0.8,0.912500023841858,0.9581499695777892,0.9100000262260436,0.8799999952316284,0.949999988079071,0.9100000262260436
3b00a20b,v4,II,3,16,1e-05,0.2,0.8,0.7900000214576721,0.8384499549865723,0.6899999976158142,0.7900000214576721,0.8500000238418579,0.8299999833106995
0c9e7df6,v4,II,3,16,0.0001,0.2,0.8,0.8075000047683716,0.8512749671936035,0.6899999976158142,0.8299999833106995,0.8999999761581421,0.8100000023841858
5aa31674,v4,II,3,16,0.001,0.2,0.8,0.8525000214576721,0.8915749788284302,0.6899999976158142,0.8999999761581421,0.949999988079071,0.8700000047683716
dd7ff40f,v4,II,2,16,1e-05,0.2,0.8,0.7724999785423279,0.8292500376701355,0.6800000071525574,0.8299999833106995,0.8100000023841858,0.7699999809265137
96c5fd42,v4,II,2,16,0.0001,0.2,0.8,0.7875000238418579,0.841949999332428,0.6399999856948853,0.8299999833106995,0.8399999737739563,0.8399999737739563
bb81eb84,v4,II,2,16,0.001,0.2,0.8,0.8525000214576721,0.8957499861717224,0.6800000071525574,0.9100000262260436,0.9399999976158142,0.8799999952316284
8b9d73d4,v4,II,1,16,1e-05,0.2,0.8,0.7749999761581421,0.8334250450134277,0.699999988079071,0.7799999713897705,0.8199999928474426,0.800000011920929
059c7a34,v4,II,1,16,0.0001,0.2,0.8,0.8125,0.8745750784873962,0.75,0.7900000214576721,0.8999999761581421,0.8100000023841858
bbb4bfc6,v4,II,1,16,0.001,0.2,0.8,0.887499988079071,0.9292250275611876,0.800000011920929,0.9100000262260436,0.9200000166893004,0.9200000166893004
82334431,v4,I,5,16,1e-05,0.2,0.8,0.6581632494926453,0.6365056037902832,0.6153846383094788,0.65625,0.692307710647583,0.6785714030265808
129f9685,v4,I,5,16,0.0001,0.2,0.8,0.668367326259613,0.665556013584137,0.6153846383094788,0.703125,0.75,0.5357142686843872
c7f1521d,v4,I,5,16,0.001,0.2,0.8,0.6938775777816772,0.7050187587738037,0.6538461446762085,0.6875,0.7692307829856873,0.6428571343421936
1e1bf543,v4,I,4,16,1e-05,0.2,0.8,0.6359649300575256,0.6244998574256897,0.6481481194496155,0.6785714030265808,0.5192307829856873,0.6818181872367859
e513f9d8,v4,I,4,16,0.0001,0.2,0.8,0.6535087823867798,0.6443520784378052,0.7037037014961243,0.625,0.5769230723381042,0.6969696879386902
47df8e13,v4,I,4,16,0.001,0.2,0.8,0.6710526347160339,0.6997537612915039,0.6666666865348816,0.6607142686843872,0.6153846383094788,0.7272727489471436
c32291aa,v4,I,3,16,1e-05,0.2,0.8,0.6214953064918518,0.6375229358673096,0.5925925970077515,0.640625,0.5799999833106995,0.6739130616188049
c649791a,v4,I,3,16,0.0001,0.2,0.8,0.6308411359786987,0.6708883047103882,0.5740740895271301,0.65625,0.6000000238418579,0.695652186870575
eb4d72ec,v4,I,3,16,0.001,0.2,0.8,0.6822429895401001,0.7357847690582275,0.6666666865348816,0.734375,0.6600000262260437,0.6521739363670349
a7eec17e,v4,I,2,16,1e-05,0.2,0.8,0.7037037014961243,0.7534293532371521,0.6851851940155029,0.7121211886405945,0.7799999713897705,0.6304348111152649
721574ea,v4,I,2,16,0.0001,0.2,0.8,0.7685185074806213,0.7988682985305786,0.7962962985038757,0.7424242496490479,0.8399999737739563,0.695652186870575
6b53991c,v4,I,2,16,0.001,0.2,0.8,0.7916666865348816,0.8552811741828918,0.7962962985038757,0.7575757503509521,0.8600000143051147,0.760869562625885
ad361aca,v4,I,1,16,1e-05,0.2,0.8,0.6650943160057068,0.7036311626434326,0.5370370149612427,0.6774193644523621,0.6600000262260437,0.804347813129425
666d660e,v4,I,1,16,0.0001,0.2,0.8,0.6745283007621765,0.70069420337677,0.5740740895271301,0.5322580933570862,0.6399999856948853,0.760869562625885
c82993b2,v4,I,1,16,0.001,0.2,0.8,0.6745283007621765,0.7317550778388977,0.5555555820465088,0.6290322542190552,0.7400000095367432,0.804347813129425
46bde3f6,v3,II,5,16,0.001,0.2,0.8,0.887499988079071,0.947100043296814,0.8500000238418579,0.8799999952316284,0.9200000166893004,0.8999999761581421
a2762c6c,v3,II,4,16,0.001,0.2,0.8,0.9100000262260436,0.9548749923706056,0.9200000166893004,0.8399999737739563,0.949999988079071,0.9300000071525574
d7e2722d,v3,II,3,16,0.001,0.2,0.8,0.8525000214576721,0.9054500460624696,0.6899999976158142,0.9200000166893004,0.9100000262260436,0.8899999856948853
bcb99b26,v3,II,2,16,0.001,0.2,0.8,0.862500011920929,0.8987250328063965,0.7200000286102295,0.8999999761581421,0.9200000166893004,0.9100000262260436
68a8153d,v3,II,1,16,0.001,0.2,0.8,0.8824999928474426,0.9264499545097352,0.8299999833106995,0.8600000143051147,0.949999988079071,0.8899999856948853
f578f23a,v3,I,5,16,0.001,0.2,0.8,0.6887755393981934,0.7261557579040527,0.6153846383094788,0.6875,0.7884615659713745,0.6428571343421936
d3c062f9,v3,I,4,16,0.001,0.2,0.8,0.6885964870452881,0.7020621299743652,0.6111111044883728,0.7321428656578064,0.7115384340286255,0.6969696879386902
879ef436,v3,I,3,16,0.001,0.2,0.8,0.6822429895401001,0.7114158868789673,0.7222222089767456,0.734375,0.6200000047683716,0.6304348111152649
94ce4625,v3,I,2,16,0.001,0.2,0.8,0.7870370149612427,0.8500514030456543,0.7592592835426331,0.7272727489471436,0.9200000166893004,0.760869562625885
9379ff2c,v3,I,1,16,0.001,0.2,0.8,0.698113203048706,0.7428799867630005,0.6481481194496155,0.6612903475761414,0.699999988079071,0.804347813129425
b44b016a,v1,II,5,16,1e-05,0.2,0.8,0.8050000071525574,0.8749749660491943,0.75,0.8299999833106995,0.8100000023841858,0.8299999833106995
b8e6e9c5,v1,II,5,16,0.0001,0.2,0.8,0.8374999761581421,0.902899980545044,0.7799999713897705,0.8899999856948853,0.8100000023841858,0.8700000047683716
5b03606a,v1,II,5,16,0.001,0.2,0.8,0.8899999856948853,0.9474750757217408,0.8700000047683716,0.8999999761581421,0.8799999952316284,0.9100000262260436
e1774dcc,v1,II,4,16,1e-05,0.2,0.8,0.8274999856948853,0.8812500238418579,0.8500000238418579,0.8199999928474426,0.7799999713897705,0.8600000143051147
d8f81a79,v1,II,4,16,0.0001,0.2,0.8,0.8575000166893005,0.9138500094413756,0.8799999952316284,0.8500000238418579,0.8700000047683716,0.8299999833106995
028d9d0c,v1,II,4,16,0.001,0.2,0.8,0.9200000166893004,0.9553500413894652,0.9300000071525574,0.8799999952316284,0.9399999976158142,0.9300000071525574
827f5a4c,v1,II,3,16,1e-05,0.2,0.8,0.7925000190734863,0.8410249948501587,0.6899999976158142,0.8700000047683716,0.800000011920929,0.8100000023841858
160045f8,v1,II,3,16,0.0001,0.2,0.8,0.7950000166893005,0.8539499640464783,0.6600000262260437,0.8899999856948853,0.7900000214576721,0.8399999737739563
619b3551,v1,II,3,16,0.001,0.2,0.8,0.8500000238418579,0.9019500017166138,0.6899999976158142,0.9200000166893004,0.9100000262260436,0.8799999952316284
2a0969a2,v1,II,2,16,1e-05,0.2,0.8,0.7724999785423279,0.8295249938964844,0.6700000166893005,0.8799999952316284,0.8199999928474426,0.7200000286102295
007a01b0,v1,II,2,16,0.0001,0.2,0.8,0.7875000238418579,0.8463999629020691,0.7099999785423279,0.8299999833106995,0.8299999833106995,0.7799999713897705
ba9c9d18,v1,II,2,16,0.001,0.2,0.8,0.862500011920929,0.9088749885559082,0.75,0.9100000262260436,0.9100000262260436,0.8799999952316284
bda1232a,v1,II,1,16,1e-05,0.2,0.8,0.7300000190734863,0.7936500310897827,0.699999988079071,0.699999988079071,0.8100000023841858,0.7099999785423279
114e607e,v1,II,1,16,0.0001,0.2,0.8,0.8125,0.8841750025749207,0.7400000095367432,0.7599999904632568,0.9399999976158142,0.8100000023841858
011399f3,v1,II,1,16,0.001,0.2,0.8,0.8824999928474426,0.9279250502586364,0.800000011920929,0.8799999952316284,0.959999978542328,0.8899999856948853
