run,accuracy,diff,fam,ind,rel,alpha_neg,tau,enable_hcl
86fd2c72,0.8059999942779541,0.0,0.0,0.0,1.0,0.4,0.3,0
542800d0,0.8119999766349792,0.0,0.0,0.0,1.0,0.8,0.1,0
99e7c4bf,0.8090000152587891,0.0,0.0,0.0,1.0,0.2,0.05,10
dd0f76c7,0.8100000023841858,0.0,0.0,0.0,1.0,0.4,0.05,10
69a03295,0.7990000247955322,0.0,0.0,0.0,1.0,0.2,0.2,10
97cbfed2,0.8159999847412109,0.0,0.0,0.0,1.0,0.8,0.3,0
991e93b7,0.8050000071525574,0.0,0.0,0.0,1.0,0.2,0.1,10
5beb3a93,0.7979999780654907,0.0,0.0,0.0,1.0,0.2,0.3,10
68883f88,0.8069999814033508,0.0,0.0,0.0,1.0,0.4,0.1,10
db930bd9,0.8040000200271606,0.0,0.0,0.0,1.0,0.4,0.3,10
bd17febb,0.8119999766349792,0.0,0.0,0.0,1.0,0.8,0.1,10
8d84b636,0.8029999732971191,0.0,0.0,0.0,1.0,0.4,0.2,10
6fec9032,0.8140000104904175,0.0,0.0,0.0,1.0,0.8,0.2,10
fe95229d,0.8069999814033508,0.0,0.0,0.0,1.0,0.8,0.05,10
fa81664b,0.8090000152587891,0.0,0.0,0.0,1.0,0.2,0.05,20
c347d7d6,0.8090000152587891,0.0,0.0,0.0,1.0,0.4,0.05,20
3a8560d9,0.7979999780654907,0.0,0.0,0.0,1.0,0.2,0.2,20
115cc5a5,0.8159999847412109,0.0,0.0,0.0,1.0,0.8,0.3,10
b3702ed7,0.8040000200271606,0.0,0.0,0.0,1.0,0.2,0.1,20
70416cc9,0.7960000038146973,0.0,0.0,0.0,1.0,0.2,0.3,20
a04add0f,0.7979999780654907,0.0,0.0,0.0,1.0,0.8,0.2,20
43de5b59,0.8090000152587891,0.0,0.0,0.0,1.0,0.8,0.05,20
e3be169e,0.8040000200271606,0.0,0.0,0.0,1.0,0.4,0.1,20
ea3d0bc7,0.7960000038146973,0.0,0.0,0.0,1.0,0.4,0.3,20
bfd894c8,0.8040000200271606,0.0,0.0,0.0,1.0,0.8,0.1,20
a2b647b1,0.7979999780654907,0.0,0.0,0.0,1.0,0.4,0.2,20
9e3ed897,0.7960000038146973,0.0,0.0,0.0,1.0,0.8,0.3,20
b2284c9b,0.8040000200271606,0.0,0.0,0.0,1.0,0.2,0.1,30
f7da5f3b,0.7960000038146973,0.0,0.0,0.0,1.0,0.2,0.3,30
7ba462cb,0.8090000152587891,0.0,0.0,0.0,1.0,0.2,0.05,30
593913eb,0.8040000200271606,0.0,0.0,0.0,1.0,0.4,0.1,30
74717fb7,0.7979999780654907,0.0,0.0,0.0,1.0,0.2,0.2,30
2448ab25,0.7960000038146973,0.0,0.0,0.0,1.0,0.4,0.3,30
30e78765,0.7960000038146973,0.0,0.0,0.0,1.0,0.8,0.3,30
